"","reads.in","reads.out"
"c23t3post_S463_L001_R1_001.fastq.gz",13961,13961
"c23t3pre_S462_L001_R1_001.fastq.gz",28182,28182
"c23t3rear_S449_L001_R1_001.fastq.gz",67136,67116
"c23t4bf_S486_L001_R1_001.fastq.gz",16782,16767
"c23t4bw_S485_L001_R1_001.fastq.gz",14849,14832
"c23t4hull_S487_L001_R1_001.fastq.gz",93366,93348
"c23t4post_S520_L001_R1_001.fastq.gz",31305,31288
"c23t4pre_S519_L001_R1_001.fastq.gz",24788,24788
"c23t4rear_S488_L001_R1_001.fastq.gz",60286,60273
"c24t1bf_S172_L001_R1_001.fastq.gz",22642,22638
"c24t1bw_S171_L001_R1_001.fastq.gz",9061,9060
"c24t1hull_S173_L001_R1_001.fastq.gz",60272,60264
"c24t1post_S136_L001_R1_001.fastq.gz",22899,22896
"c24t1pre_S135_L001_R1_001.fastq.gz",32438,32438
"c24t1rear_S174_L001_R1_001.fastq.gz",18883,18877
"c24t3bf_S451_L001_R1_001.fastq.gz",24071,24032
"c24t3bw_S450_L001_R1_001.fastq.gz",15182,15172
"c24t3hull_S452_L001_R1_001.fastq.gz",5870,5868
"c24t3post_S465_L001_R1_001.fastq.gz",14483,14480
"c24t3pre_S464_L001_R1_001.fastq.gz",24465,24464
"c24t3rear_S453_L001_R1_001.fastq.gz",1239,1239
"c25t1bf_S176_L001_R1_001.fastq.gz",25064,25060
"c25t1bw_S175_L001_R1_001.fastq.gz",17,17
"c25t1hull_S177_L001_R1_001.fastq.gz",6097,6097
"c25t1post_S138_L001_R1_001.fastq.gz",23741,23738
"c25t1pre_S137_L001_R1_001.fastq.gz",26039,26032
"c25t1rear_S178_L001_R1_001.fastq.gz",14560,14551
"c25t2bf_S236_L001_R1_001.fastq.gz",21942,21934
"c25t2bw_S235_L001_R1_001.fastq.gz",14186,14137
"c25t2hull_S237_L001_R1_001.fastq.gz",39870,39841
"c25t2post_S208_L001_R1_001.fastq.gz",21656,21650
"c25t2pre_S207_L001_R1_001.fastq.gz",19001,19001
"c25t2rear_S238_L001_R1_001.fastq.gz",7210,7208
"c25t3bf_S455_L001_R1_001.fastq.gz",11321,11320
"c25t3bw_S454_L001_R1_001.fastq.gz",4801,4801
"c25t3hull_S456_L001_R1_001.fastq.gz",5902,5900
"c25t3post_S467_L001_R1_001.fastq.gz",8752,8751
"c25t3pre_S466_L001_R1_001.fastq.gz",9370,9370
"c25t3rear_S457_L001_R1_001.fastq.gz",35429,35421
"c25t4bf_S482_L001_R1_001.fastq.gz",23102,23067
"c25t4bw_S481_L001_R1_001.fastq.gz",16142,16126
"c25t4hull_S483_L001_R1_001.fastq.gz",6547,6525
"c25t4post_S518_L001_R1_001.fastq.gz",30071,30065
"c25t4pre_S517_L001_R1_001.fastq.gz",26785,26783
"c26t2bf_S269_L001_R1_001.fastq.gz",17222,17221
"c26t2bw_S268_L001_R1_001.fastq.gz",10544,10540
"c26t2hull_S270_L001_R1_001.fastq.gz",25957,25955
"c26t2post_S253_L001_R1_001.fastq.gz",17443,17441
"c26t2pre_S252_L001_R1_001.fastq.gz",10188,10186
"c26t2rear_S271_L001_R1_001.fastq.gz",15070,15066
"c26t4bf_S540_L001_R1_001.fastq.gz",16914,16869
"c26t4bw_S539_L001_R1_001.fastq.gz",14429,14419
"c26t4hull_S541_L001_R1_001.fastq.gz",17562,17562
"c26t4post_S569_L001_R1_001.fastq.gz",33942,33937
"c26t4pre_S568_L001_R1_001.fastq.gz",25603,25602
"c26t4rear_S542_L001_R1_001.fastq.gz",24509,24505
"c27t2bf_S273_L001_R1_001.fastq.gz",22278,22269
"c27t2bw_S272_L001_R1_001.fastq.gz",13533,13530
"c27t2hull_S274_L001_R1_001.fastq.gz",14605,14603
"c27t2post_S255_L001_R1_001.fastq.gz",23869,23868
"c27t2pre_S254_L001_R1_001.fastq.gz",16433,16432
"c27t2rear_S275_L001_R1_001.fastq.gz",14343,14339
"c27t4bf_S544_L001_R1_001.fastq.gz",24807,24782
"c27t4bw_S543_L001_R1_001.fastq.gz",23232,23223
"c27t4hull_S545_L001_R1_001.fastq.gz",97453,97424
"c27t4post_S571_L001_R1_001.fastq.gz",13253,13249
"c27t4pre_S570_L001_R1_001.fastq.gz",34848,34841
"c27t4rear_S546_L001_R1_001.fastq.gz",72723,72702
"c2t1bf_S70_L001_R1_001.fastq.gz",24725,24675
"c2t1bw_S71_L001_R1_001.fastq.gz",19483,19451
"c2t1hull_S69_L001_R1_001.fastq.gz",21253,21248
"c2t1post_S1_L001_R1_001.fastq.gz",20898,20893
"c2t1pre_S3_L001_R1_001.fastq.gz",24036,24036
"c2t1rear_S68_L001_R1_001.fastq.gz",20375,20374
"c2t3bf_S314_L001_R1_001.fastq.gz",19646,19622
"c2t3bw_S313_L001_R1_001.fastq.gz",22764,22750
"c2t3hull_S315_L001_R1_001.fastq.gz",45984,45968
"c2t3post_S296_L001_R1_001.fastq.gz",12701,12700
"c2t3pre_S295_L001_R1_001.fastq.gz",15163,15162
"c2t3rear_S316_L001_R1_001.fastq.gz",980,979
"c3t1bf_S24_L001_R1_001.fastq.gz",16314,16313
"c3t1bw_S62_L001_R1_001.fastq.gz",20260,20255
"c3t1hull_S37_L001_R1_001.fastq.gz",20304,20301
"c3t1post_S15_L001_R1_001.fastq.gz",14890,14889
"c3t1pre_S6_L001_R1_001.fastq.gz",21009,21006
"c3t1rear_S27_L001_R1_001.fastq.gz",13886,13884
"c3t3bf_S318_L001_R1_001.fastq.gz",19893,19835
"c3t3bw_S317_L001_R1_001.fastq.gz",17375,17307
"c3t3hull_S319_L001_R1_001.fastq.gz",28654,28640
"c3t3post_S298_L001_R1_001.fastq.gz",10860,10860
"c3t3pre_S297_L001_R1_001.fastq.gz",13493,13488
"c3t3rear_S320_L001_R1_001.fastq.gz",16975,16969
"c4t1bf_S56_L001_R1_001.fastq.gz",18450,18442
"c4t1bw_S63_L001_R1_001.fastq.gz",23834,23833
"c4t1hull_S54_L001_R1_001.fastq.gz",15292,15284
"c4t1post_S18_L001_R1_001.fastq.gz",15509,15504
"c4t1pre_S14_L001_R1_001.fastq.gz",17726,17723
"c4t1rear_S48_L001_R1_001.fastq.gz",5737,5737
"c4t3bf_S322_L001_R1_001.fastq.gz",3613,3593
"c4t3bw_S321_L001_R1_001.fastq.gz",81410,81381
"c4t3hull_S323_L001_R1_001.fastq.gz",6341,6297
"c4t3post_S300_L001_R1_001.fastq.gz",10573,10573
"c4t3pre_S299_L001_R1_001.fastq.gz",7911,7910
"c4t3rear_S324_L001_R1_001.fastq.gz",7509,7509
"c5t1bf_S25_L001_R1_001.fastq.gz",21284,21273
"c5t1bw_S35_L001_R1_001.fastq.gz",5634,5632
"c5t1hull_S38_L001_R1_001.fastq.gz",19890,19885
"c5t1post_S2_L001_R1_001.fastq.gz",10803,10799
"c5t1pre_S4_L001_R1_001.fastq.gz",24489,24487
"c5t1rear_S28_L001_R1_001.fastq.gz",20372,20366
"c5t3bf_S326_L001_R1_001.fastq.gz",23226,23190
"c5t3bw_S325_L001_R1_001.fastq.gz",18666,18604
"c5t3hull_S327_L001_R1_001.fastq.gz",9162,9140
"c5t3post_S302_L001_R1_001.fastq.gz",24539,24537
"c5t3pre_S301_L001_R1_001.fastq.gz",21702,21698
"c5t3rear_S328_L001_R1_001.fastq.gz",66128,66103
"c6t1bf_S57_L001_R1_001.fastq.gz",21523,21515
"c6t1bw_S64_L001_R1_001.fastq.gz",17165,17162
"c6t1hull_S60_L001_R1_001.fastq.gz",13555,13551
"c6t1post_S10_L001_R1_001.fastq.gz",439,439
"c6t1pre_S8_L001_R1_001.fastq.gz",18433,18433
"c6t1rear_S49_L001_R1_001.fastq.gz",17967,17941
"c6t3bf_S330_L001_R1_001.fastq.gz",18929,18897
"c6t3bw_S329_L001_R1_001.fastq.gz",24518,24465
"c6t3hull_S331_L001_R1_001.fastq.gz",90691,90637
"c6t3post_S304_L001_R1_001.fastq.gz",12398,12398
"c6t3pre_S303_L001_R1_001.fastq.gz",30965,30965
"c6t3rear_S332_L001_R1_001.fastq.gz",21232,21223
"c7t1bf_S32_L001_R1_001.fastq.gz",11445,11443
"c7t1bw_S46_L001_R1_001.fastq.gz",12553,12545
"c7t1hull_S39_L001_R1_001.fastq.gz",17496,17487
"c7t1post_S22_L001_R1_001.fastq.gz",5721,5721
"c7t1pre_S20_L001_R1_001.fastq.gz",17028,17027
"c7t1rear_S29_L001_R1_001.fastq.gz",10949,10947
"c7t3bf_S334_L001_R1_001.fastq.gz",14010,13996
"c7t3bw_S333_L001_R1_001.fastq.gz",48687,48648
"c7t3hull_S335_L001_R1_001.fastq.gz",1015,984
"c7t3post_S306_L001_R1_001.fastq.gz",18178,18177
"c7t3pre_S305_L001_R1_001.fastq.gz",13546,13541
"c7t3rear_S336_L001_R1_001.fastq.gz",29922,29903
"c8t1bf_S58_L001_R1_001.fastq.gz",20932,20908
"c8t1bw_S66_L001_R1_001.fastq.gz",16135,16128
"c8t1hull_S52_L001_R1_001.fastq.gz",13536,13535
"c8t1post_S13_L001_R1_001.fastq.gz",14286,14282
"c8t1pre_S17_L001_R1_001.fastq.gz",20192,20192
"c8t1rear_S50_L001_R1_001.fastq.gz",20711,20701
"c8t3bf_S338_L001_R1_001.fastq.gz",8033,8024
"c8t3bw_S337_L001_R1_001.fastq.gz",45023,44996
"c8t3hull_S339_L001_R1_001.fastq.gz",8913,8912
"c8t3post_S308_L001_R1_001.fastq.gz",17990,17986
"c8t3pre_S307_L001_R1_001.fastq.gz",21391,21388
"c8t3rear_S340_L001_R1_001.fastq.gz",21,16
"c9t1bf_S33_L001_R1_001.fastq.gz",14725,14717
"c9t1bw_S45_L001_R1_001.fastq.gz",23724,23700
"c9t1hull_S40_L001_R1_001.fastq.gz",23933,23917
"c9t1post_S19_L001_R1_001.fastq.gz",17403,17403
"c9t1pre_S11_L001_R1_001.fastq.gz",250,250
"c9t1rear_S30_L001_R1_001.fastq.gz",15710,15705
"c9t3bf_S348_L001_R1_001.fastq.gz",16827,16738
"c9t3bw_S347_L001_R1_001.fastq.gz",21805,21790
"c9t3hull_S349_L001_R1_001.fastq.gz",47514,47505
"c9t3post_S376_L001_R1_001.fastq.gz",16881,16881
"c9t3pre_S375_L001_R1_001.fastq.gz",22254,22254
"c9t3rear_S350_L001_R1_001.fastq.gz",3694,3694
"intbilge1t0t2_S284_L001_R1_001.fastq.gz",22655,22647
"intbilge1tft2_S290_L001_R1_001.fastq.gz",15507,15504
"intbilge2t0t2_S285_L001_R1_001.fastq.gz",13068,13068
"intbilge2tft2_S291_L001_R1_001.fastq.gz",14723,14722
"P1negcontrol1_S94_L001_R1_001.fastq.gz",181,75
"P1negcontrol2_S95_L001_R1_001.fastq.gz",130,119
"P1negcontrol3_S96_L001_R1_001.fastq.gz",193,189
"P2negcontrol1_S187_L001_R1_001.fastq.gz",21,21
"P2negcontrol2_S188_L001_R1_001.fastq.gz",37,37
"P2negcontrol3_S189_L001_R1_001.fastq.gz",28,26
"P2negcontrol4_S190_L001_R1_001.fastq.gz",31,27
"P2negcontrol5_S191_L001_R1_001.fastq.gz",18,16
"P2negcontrol6_S192_L001_R1_001.fastq.gz",130,119
"P3negcontrol1_S286_L001_R1_001.fastq.gz",8,7
"P3negcontrol2_S287_L001_R1_001.fastq.gz",25,25
"P3negcontrol3_S288_L001_R1_001.fastq.gz",38,20
"P4negcontrol1_S382_L001_R1_001.fastq.gz",24,14
"P4negcontrol2_S383_L001_R1_001.fastq.gz",24,22
"P4negcontrol3_S384_L001_R1_001.fastq.gz",38,30
"P5negcontrol1_S470_L001_R1_001.fastq.gz",16,11
"P5negcontrol10_S479_L001_R1_001.fastq.gz",8,8
"P5negcontrol11_S480_L001_R1_001.fastq.gz",10,10
"P5negcontrol2_S471_L001_R1_001.fastq.gz",367,365
"P5negcontrol3_S472_L001_R1_001.fastq.gz",4699,4690
"P5negcontrol4_S473_L001_R1_001.fastq.gz",39,25
"P5negcontrol5_S474_L001_R1_001.fastq.gz",333,331
"P5negcontrol6_S475_L001_R1_001.fastq.gz",24,24
"P5negcontrol7_S476_L001_R1_001.fastq.gz",372,372
"P5negcontrol8_S477_L001_R1_001.fastq.gz",51,41
"P5negcontrol9_S478_L001_R1_001.fastq.gz",23,20
"P6negcontrol1_S574_L001_R1_001.fastq.gz",6,6
"P6negcontrol2_S575_L001_R1_001.fastq.gz",13,11
"P6negcontrol3_S576_L001_R1_001.fastq.gz",402,28
"P7negcontrol1_S601_L001_R1_001.fastq.gz",22,22
"P7negcontrol2_S606_L001_R1_001.fastq.gz",28,26
"P7negcontrol3_S611_L001_R1_001.fastq.gz",46,44
"P7negcontrol4_S616_L001_R1_001.fastq.gz",27,27
"postblank1t4_S561_L001_R1_001.fastq.gz",19964,19946
"postblank2t4_S562_L001_R1_001.fastq.gz",55,55
"postblank3t4_S563_L001_R1_001.fastq.gz",55,55
"postblank4t4_S564_L001_R1_001.fastq.gz",6452,6450
"postblank5t4_S565_L001_R1_001.fastq.gz",7393,7389
"preblank1t4_S556_L001_R1_001.fastq.gz",14439,14424
"preblank2t4_S557_L001_R1_001.fastq.gz",9403,9401
"preblank3t4_S558_L001_R1_001.fastq.gz",5157,5156
"preblank4t4_S559_L001_R1_001.fastq.gz",19996,19989
"preblank5t4_S560_L001_R1_001.fastq.gz",4430,4430
"swabblank1t4_S551_L001_R1_001.fastq.gz",8116,8092
"swabblank2t4_S552_L001_R1_001.fastq.gz",1895,1887
"swabblank3t4_S553_L001_R1_001.fastq.gz",3147,3142
"swabblank4t4_S554_L001_R1_001.fastq.gz",253,251
"swabblank5t4_S555_L001_R1_001.fastq.gz",38,38
"t0t1bf1_S55_L001_R1_001.fastq.gz",16041,16034
"t0t1bf2_S112_L001_R1_001.fastq.gz",15551,15544
"t0t1bf3_S180_L001_R1_001.fastq.gz",12515,12514
"t0t1bw1_S61_L001_R1_001.fastq.gz",16450,16439
"t0t1bw2_S111_L001_R1_001.fastq.gz",12753,12752
"t0t1bw3_S179_L001_R1_001.fastq.gz",15856,15849
"t0t1hull1_S44_L001_R1_001.fastq.gz",13622,13618
"t0t1hull2_S113_L001_R1_001.fastq.gz",22471,22463
"t0t1hull3_S181_L001_R1_001.fastq.gz",22092,22084
"t0t1post_S140_L001_R1_001.fastq.gz",27521,27519
"t0t1pre_S139_L001_R1_001.fastq.gz",20368,20366
"t0t1rear2_S114_L001_R1_001.fastq.gz",16624,16623
"t0t1rear3_S182_L001_R1_001.fastq.gz",26731,26724
"t0t1trans_S67_L001_R1_001.fastq.gz",55,55
"t0t2bf4_S240_L001_R1_001.fastq.gz",8840,8829
"t0t2bf5_S277_L001_R1_001.fastq.gz",14636,14626
"t0t2bw4_S239_L001_R1_001.fastq.gz",17909,17819
"t0t2bw5_S276_L001_R1_001.fastq.gz",13272,13260
"t0t2hull4_S241_L001_R1_001.fastq.gz",11194,11192
"t0t2hull5_S278_L001_R1_001.fastq.gz",164031,163929
"t0t2post4_S194_L001_R1_001.fastq.gz",27821,27806
"t0t2post5_S257_L001_R1_001.fastq.gz",25546,25535
"t0t2pre4_S193_L001_R1_001.fastq.gz",19030,19024
"t0t2pre5_S256_L001_R1_001.fastq.gz",22896,22893
"t0t2rear4_S242_L001_R1_001.fastq.gz",15589,15582
"t0t2rear5_S279_L001_R1_001.fastq.gz",581,581
"t0t3bf6_S344_L001_R1_001.fastq.gz",20975,20880
"t0t3bf8_S443_L001_R1_001.fastq.gz",22472,22352
"t0t3bw6_S343_L001_R1_001.fastq.gz",12629,12625
"t0t3bw8_S442_L001_R1_001.fastq.gz",16375,16371
"t0t3hull3_S345_L001_R1_001.fastq.gz",65,62
"t0t3hull8_S444_L001_R1_001.fastq.gz",12388,12385
"t0t3post6_S342_L001_R1_001.fastq.gz",23703,23703
"t0t3post8_S409_L001_R1_001.fastq.gz",14278,14265
"t0t3pre6_S341_L001_R1_001.fastq.gz",18661,18659
"t0t3pre8_S408_L001_R1_001.fastq.gz",12666,12665
"t0t3rear6_S346_L001_R1_001.fastq.gz",15,13
"t0t3rear8_S445_L001_R1_001.fastq.gz",8234,8227
"t0t4bf_S514_L001_R1_001.fastq.gz",14358,14311
"t0t4bw_S513_L001_R1_001.fastq.gz",13423,13423
"t0t4hull_S515_L001_R1_001.fastq.gz",33,33
"t0t4post_S534_L001_R1_001.fastq.gz",30755,30750
"t0t4pre_S533_L001_R1_001.fastq.gz",29533,29529
"t0t4rear_S516_L001_R1_001.fastq.gz",14535,14532
"tf4post_S573_L001_R1_001.fastq.gz",27825,27822
"tft1bf1_S34_L001_R1_001.fastq.gz",14647,14643
"tft1bf2_S116_L001_R1_001.fastq.gz",322196,322167
"tft1bf3_S184_L001_R1_001.fastq.gz",4954,4953
"tft1bw1_S47_L001_R1_001.fastq.gz",18913,18909
"tft1bw2_S115_L001_R1_001.fastq.gz",5023,5022
"tft1bw3_S183_L001_R1_001.fastq.gz",192791,192747
"tft1hull1_S31_L001_R1_001.fastq.gz",13443,13437
"tft1hull2_S117_L001_R1_001.fastq.gz",800,800
"tft1hull3_S185_L001_R1_001.fastq.gz",31760,31756
"tft1post1_S16_L001_R1_001.fastq.gz",18191,18183
"tft1post2_S120_L001_R1_001.fastq.gz",11765,11765
"tft1post3_S142_L001_R1_001.fastq.gz",17987,17987
"tft1pre1_S12_L001_R1_001.fastq.gz",3503,3503
"tft1pre2_S119_L001_R1_001.fastq.gz",17087,17087
"tft1pre3_S141_L001_R1_001.fastq.gz",17471,17470
"tft1rear1_S41_L001_R1_001.fastq.gz",18418,18415
"tft1rear2_S118_L001_R1_001.fastq.gz",10844,10842
"tft1rear3_S186_L001_R1_001.fastq.gz",14187,14187
"tft2bf4_S244_L001_R1_001.fastq.gz",18600,18594
"tft2bf5_S281_L001_R1_001.fastq.gz",14978,14976
"tft2bilgedrip_S247_L001_R1_001.fastq.gz",13965,13959
"tft2bw4_S243_L001_R1_001.fastq.gz",18275,18273
"tft2bw5_S280_L001_R1_001.fastq.gz",85406,85395
"tft2hull4_S245_L001_R1_001.fastq.gz",11086,11086
"tft2hull5_S282_L001_R1_001.fastq.gz",20529,20517
"tft2post4_S210_L001_R1_001.fastq.gz",21668,21662
"tft2post5_S259_L001_R1_001.fastq.gz",17257,17246
"tft2pre4_S209_L001_R1_001.fastq.gz",18563,18563
"tft2pre5_S258_L001_R1_001.fastq.gz",20783,20777
"tft2rear4_S246_L001_R1_001.fastq.gz",13337,13335
"tft2rear5_S283_L001_R1_001.fastq.gz",25569,25563
"tft3bf7_S372_L001_R1_001.fastq.gz",13305,13280
"tft3bf9_S459_L001_R1_001.fastq.gz",19543,19496
"tft3bw7_S371_L001_R1_001.fastq.gz",62733,62691
"tft3bw9_S458_L001_R1_001.fastq.gz",7960,7958
"tft3hull7_S373_L001_R1_001.fastq.gz",2479,2475
"tft3hull9_S460_L001_R1_001.fastq.gz",8025,8023
"tft3post7_S391_L001_R1_001.fastq.gz",24980,24978
"tft3post9_S469_L001_R1_001.fastq.gz",19810,19808
"tft3pre7_S390_L001_R1_001.fastq.gz",12859,12856
"tft3pre9_S468_L001_R1_001.fastq.gz",15310,15305
"tft3rear7_S374_L001_R1_001.fastq.gz",3481,3481
"tft3rear9_S461_L001_R1_001.fastq.gz",66347,66331
"tft4bf_S548_L001_R1_001.fastq.gz",34011,33994
"tft4bw_S547_L001_R1_001.fastq.gz",21855,21837
"tft4hull_S549_L001_R1_001.fastq.gz",24330,24322
"tft4pre_S572_L001_R1_001.fastq.gz",25418,25413
"tft4rear_S550_L001_R1_001.fastq.gz",4632,4632
